
CDOTA_Unit_Hero_Alchemist = 294 - DT_DOTA_Unit_Hero_Alchemist, count 1
CDOTA_Unit_Hero_AncientApparition = 295 - DT_DOTA_Unit_Hero_AncientApparition, count 1
CDOTA_Unit_Hero_AntiMage = 296 - DT_DOTA_Unit_Hero_AntiMage, count 1
CDOTA_Unit_Hero_Axe = 297 - DT_DOTA_Unit_Hero_Axe, count 1
CDOTA_Unit_Hero_Bane = 298 - DT_DOTA_Unit_Hero_Bane, count 1
CDOTA_Unit_Hero_Batrider = 299 - DT_DOTA_Unit_Hero_Batrider, count 1
CDOTA_Unit_Hero_Beastmaster = 300 - DT_DOTA_Unit_Hero_Beastmaster, count 1
CDOTA_Unit_Hero_Beastmaster_Beasts = 301 - DT_DOTA_Unit_Hero_Beastmaster_Beasts, count 1
CDOTA_Unit_Hero_Beastmaster_Boar = 302 - DT_DOTA_Unit_Hero_Beastmaster_Boar, count 1
CDOTA_Unit_Hero_Beastmaster_Hawk = 303 - DT_DOTA_Unit_Hero_Beastmaster_Hawk, count 1
CDOTA_Unit_Hero_Bloodseeker = 304 - DT_DOTA_Unit_Hero_Bloodseeker, count 1 
CDOTA_Unit_Hero_BountyHunter = 305 - DT_DOTA_Unit_Hero_BountyHunter, count 1 
CDOTA_Unit_Hero_Brewmaster = 306 - DT_DOTA_Unit_Hero_Brewmaster, count 1 
CDOTA_Unit_Hero_Bristleback = 307 - DT_DOTA_Unit_Hero_Bristleback, count 1 
CDOTA_Unit_Hero_Broodmother = 308 - DT_DOTA_Unit_Hero_Broodmother, count 1 
CDOTA_Unit_Hero_Centaur = 309 - DT_DOTA_Unit_Hero_Centaur, count 1 
CDOTA_Unit_Hero_ChaosKnight = 310 - DT_DOTA_Unit_Hero_ChaosKnight, count 1
CDOTA_Unit_Hero_Chen = 311 - DT_DOTA_Unit_Hero_Chen, count 1
CDOTA_Unit_Hero_Clinkz = 312 - DT_DOTA_Unit_Hero_Clinkz, count 1 
CDOTA_Unit_Hero_CrystalMaiden = 313 - DT_DOTA_Unit_Hero_CrystalMaiden, count 1
CDOTA_Unit_Hero_DarkSeer = 314 - DT_DOTA_Unit_Hero_DarkSeer, count 1
CDOTA_Unit_Hero_Dazzle = 315 - DT_DOTA_Unit_Hero_Dazzle, count 1
CDOTA_Unit_Hero_DeathProphet = 316 - DT_DOTA_Unit_Hero_DeathProphet, count 1
CDOTA_Unit_Hero_Disruptor = 317 - DT_DOTA_Unit_Hero_Disruptor, count 1 
CDOTA_Unit_Hero_DoomBringer = 318 - DT_DOTA_Unit_Hero_DoomBringer, count 1 
CDOTA_Unit_Hero_DragonKnight = 319 - DT_DOTA_Unit_Hero_DragonKnight, count 1 
CDOTA_Unit_Hero_DrowRanger = 320 - DT_DOTA_Unit_Hero_DrowRanger, count 1 
CDOTA_Unit_Hero_Earthshaker = 321 - DT_DOTA_Unit_Hero_Earthshaker, count 1 
CDOTA_Unit_Hero_Enchantress = 322 - DT_DOTA_Unit_Hero_Enchantress, count 1 
CDOTA_Unit_Hero_Enigma = 323 - DT_DOTA_Unit_Hero_Enigma, count 1 
CDOTA_Unit_Hero_FacelessVoid = 324 - DT_DOTA_Unit_Hero_FacelessVoid, count 1 
CDOTA_Unit_Hero_Furion = 325 - DT_DOTA_Unit_Hero_Furion, count 1 
CDOTA_Unit_Hero_Gyrocopter = 326 - DT_DOTA_Unit_Hero_Gyrocopter, count 1 
CDOTA_Unit_Hero_Huskar = 327 - DT_DOTA_Unit_Hero_Huskar, count 1 
CDOTA_Unit_Hero_Invoker = 328 - DT_DOTA_Unit_Hero_Invoker, count 1 
CDOTA_Unit_Hero_Jakiro = 329 - DT_DOTA_Unit_Hero_Jakiro, count 1 
CDOTA_Unit_Hero_Juggernaut = 330 - DT_DOTA_Unit_Hero_Juggernaut, count 1 
CDOTA_Unit_Hero_KeeperOfTheLight = 331 - DT_DOTA_Unit_Hero_KeeperOfTheLight, count 1 
CDOTA_Unit_Hero_Kunkka = 332 - DT_DOTA_Unit_Hero_Kunkka, count 1 
CDOTA_Unit_Hero_Leshrac = 333 - DT_DOTA_Unit_Hero_Leshrac, count 1 
CDOTA_Unit_Hero_Lich = 334 - DT_DOTA_Unit_Hero_Lich, count 1 
CDOTA_Unit_Hero_Life_Stealer = 335 - DT_DOTA_Unit_Hero_Life_Stealer, count 1 
CDOTA_Unit_Hero_Lina = 336 - DT_DOTA_Unit_Hero_Lina, count 1 
CDOTA_Unit_Hero_Lion = 337 - DT_DOTA_Unit_Hero_Lion, count 1 
CDOTA_Unit_Hero_LoneDruid = 338 - DT_DOTA_Unit_Hero_LoneDruid, count 1 
CDOTA_Unit_Hero_Luna = 339 - DT_DOTA_Unit_Hero_Luna, count 1 
CDOTA_Unit_Hero_Lycan = 340 - DT_DOTA_Unit_Hero_Lycan, count 1 
CDOTA_Unit_Hero_Magnataur = 341 - DT_DOTA_Unit_Hero_Magnataur, count 1 
CDOTA_Unit_Hero_Medusa = 342 - DT_DOTA_Unit_Hero_Medusa, count 1 
CDOTA_Unit_Hero_Meepo = 343 - DT_DOTA_Unit_Hero_Meepo, count 3
CDOTA_Unit_Hero_Mirana = 344 - DT_DOTA_Unit_Hero_Mirana, count 1 
CDOTA_Unit_Hero_Morphling = 345 - DT_DOTA_Unit_Hero_Morphling, count 1
CDOTA_Unit_Hero_Naga_Siren = 346 - DT_DOTA_Unit_Hero_Naga_Siren, count 1 
