heroName,playerName,levels,kills,deaths,assists,gold,xp,lasthits,denies
DT_DOTA_Unit_Hero_Sniper,EE Hinata Shouyou,25,12,7,8,35698,32406,521,9
DT_DOTA_Unit_Hero_Axe,FATA-,23,7,11,6,24464,28626,332,7
DT_DOTA_Unit_Hero_Omniknight,BigDaddyN0tail,19,1,6,6,13760,20174,68,1
DT_DOTA_Unit_Hero_Earthshaker,MISERY,18,0,4,17,14801,18030,142,0
DT_DOTA_Unit_Hero_Juggernaut,bOne7,24,4,11,8,28077,29921,353,7
DT_DOTA_Unit_Hero_WitchDoctor,Puppey,19,3,3,19,17069,20409,111,4
DT_DOTA_Unit_Hero_Broodmother,zai,25,9,3,6,37806,33893,476,2
DT_DOTA_Unit_Hero_Slardar,s4,25,9,5,7,27070,32747,249,19
DT_DOTA_Unit_Hero_VengefulSpirit,KuroKy,21,2,8,14,14655,23402,51,0
DT_DOTA_Unit_Hero_Nevermore,Arteezy,25,15,6,9,41787,32403,493,9
