Time,Hero0,Hero0Posx,Hero0Posy,Hero1,Hero1Posx,Hero1Posy,Hero2,Hero2Posx,Hero2Posy,Hero3,Hero3Posx,Hero3Posy,Hero4,Hero4Posx,Hero4Posy,Hero5,Hero5Posx,Hero5Posy,Hero6,Hero6Posx,Hero6Posy,Hero7,Hero7Posx,Hero7Posy,Hero8,Hero8Posx,Hero8Posy,Hero9,Hero9Posx,Hero9Posy
2, DT_DOTA_Unit_Hero_Sniper,2804.0,4254.0,DT_DOTA_Unit_Hero_Axe,8963.0,2942.0,DT_DOTA_Unit_Hero_Omniknight,8032.0,5579.0,DT_DOTA_Unit_Hero_Earthshaker,3115.0,9303.0,DT_DOTA_Unit_Hero_Juggernaut,4598.0,10120.0,DT_DOTA_Unit_Hero_WitchDoctor,10413.0,7865.0,DT_DOTA_Unit_Hero_Broodmother,8480.0,9536.0,DT_DOTA_Unit_Hero_Slardar,10619.0,8017.0,DT_DOTA_Unit_Hero_VengefulSpirit,9994.0,7476.0,DT_DOTA_Unit_Hero_Nevermore,9894.0,5985.0,
4, DT_DOTA_Unit_Hero_Sniper,3187.0,4458.0,DT_DOTA_Unit_Hero_Axe,8862.0,2351.0,DT_DOTA_Unit_Hero_Omniknight,8095.0,4955.0,DT_DOTA_Unit_Hero_Earthshaker,2478.0,9235.0,DT_DOTA_Unit_Hero_Juggernaut,4091.0,10491.0,DT_DOTA_Unit_Hero_WitchDoctor,10921.0,8164.0,DT_DOTA_Unit_Hero_Broodmother,8495.0,10124.0,DT_DOTA_Unit_Hero_Slardar,11187.0,8156.0,DT_DOTA_Unit_Hero_VengefulSpirit,10511.0,7945.0,DT_DOTA_Unit_Hero_Nevermore,9686.0,6580.0,
6, DT_DOTA_Unit_Hero_Sniper,3455.0,4796.0,DT_DOTA_Unit_Hero_Axe,8403.0,2021.0,DT_DOTA_Unit_Hero_Omniknight,8214.0,4357.0,DT_DOTA_Unit_Hero_Earthshaker,1913.0,9096.0,DT_DOTA_Unit_Hero_Juggernaut,3536.0,10723.0,DT_DOTA_Unit_Hero_WitchDoctor,11531.0,8161.0,DT_DOTA_Unit_Hero_Broodmother,7971.0,10368.0,DT_DOTA_Unit_Hero_Slardar,11787.0,8160.0,DT_DOTA_Unit_Hero_VengefulSpirit,11121.0,8159.0,DT_DOTA_Unit_Hero_Nevermore,9492.0,7158.0,
8, DT_DOTA_Unit_Hero_Sniper,3710.0,5101.0,DT_DOTA_Unit_Hero_Axe,7882.0,1912.0,DT_DOTA_Unit_Hero_Omniknight,8606.0,3963.0,DT_DOTA_Unit_Hero_Earthshaker,1549.0,8654.0,DT_DOTA_Unit_Hero_Juggernaut,2976.0,10815.0,DT_DOTA_Unit_Hero_WitchDoctor,12099.0,8125.0,DT_DOTA_Unit_Hero_Broodmother,7452.0,10549.0,DT_DOTA_Unit_Hero_Slardar,12340.0,8173.0,DT_DOTA_Unit_Hero_VengefulSpirit,11751.0,8123.0,DT_DOTA_Unit_Hero_Nevermore,9268.0,7650.0,
10, DT_DOTA_Unit_Hero_Sniper,4056.0,5507.0,DT_DOTA_Unit_Hero_Axe,7612.0,1890.0,DT_DOTA_Unit_Hero_Omniknight,9051.0,3545.0,DT_DOTA_Unit_Hero_Earthshaker,1335.0,8098.0,DT_DOTA_Unit_Hero_Juggernaut,2368.0,10869.0,DT_DOTA_Unit_Hero_WitchDoctor,12699.0,8066.0,DT_DOTA_Unit_Hero_Broodmother,6909.0,10753.0,DT_DOTA_Unit_Hero_Slardar,12936.0,8245.0,DT_DOTA_Unit_Hero_VengefulSpirit,12086.0,7578.0,DT_DOTA_Unit_Hero_Nevermore,8675.0,7791.0,
12, DT_DOTA_Unit_Hero_Sniper,4414.0,5794.0,DT_DOTA_Unit_Hero_Axe,8191.0,1876.0,DT_DOTA_Unit_Hero_Omniknight,9566.0,3246.0,DT_DOTA_Unit_Hero_Earthshaker,1093.0,7627.0,DT_DOTA_Unit_Hero_Juggernaut,1760.0,10908.0,DT_DOTA_Unit_Hero_WitchDoctor,12997.0,7591.0,DT_DOTA_Unit_Hero_Broodmother,6418.0,11077.0,DT_DOTA_Unit_Hero_Slardar,13504.0,8405.0,DT_DOTA_Unit_Hero_VengefulSpirit,12226.0,6904.0,DT_DOTA_Unit_Hero_Nevermore,8158.0,8047.0,
14, DT_DOTA_Unit_Hero_Sniper,4770.0,6121.0,DT_DOTA_Unit_Hero_Axe,8767.0,1891.0,DT_DOTA_Unit_Hero_Omniknight,10139.0,3036.0,DT_DOTA_Unit_Hero_Earthshaker,794.0,7739.0,DT_DOTA_Unit_Hero_Juggernaut,1208.0,10829.0,DT_DOTA_Unit_Hero_WitchDoctor,13081.0,6992.0,DT_DOTA_Unit_Hero_Broodmother,5932.0,11397.0,DT_DOTA_Unit_Hero_Slardar,13648.0,8478.0,DT_DOTA_Unit_Hero_VengefulSpirit,12630.0,6501.0,DT_DOTA_Unit_Hero_Nevermore,8009.0,8600.0,
16, DT_DOTA_Unit_Hero_Sniper,5081.0,6466.0,DT_DOTA_Unit_Hero_Axe,9325.0,1922.0,DT_DOTA_Unit_Hero_Omniknight,10613.0,2764.0,DT_DOTA_Unit_Hero_Earthshaker,817.0,8066.0,DT_DOTA_Unit_Hero_Juggernaut,1040.0,10291.0,DT_DOTA_Unit_Hero_WitchDoctor,13071.0,6472.0,DT_DOTA_Unit_Hero_Broodmother,5431.0,11633.0,DT_DOTA_Unit_Hero_Slardar,13637.0,8142.0,DT_DOTA_Unit_Hero_VengefulSpirit,13087.0,6691.0,DT_DOTA_Unit_Hero_Nevermore,7684.0,8700.0,
18, DT_DOTA_Unit_Hero_Sniper,5459.0,6900.0,DT_DOTA_Unit_Hero_Axe,9897.0,1909.0,DT_DOTA_Unit_Hero_Omniknight,10706.0,2723.0,DT_DOTA_Unit_Hero_Earthshaker,812.0,8472.0,DT_DOTA_Unit_Hero_Juggernaut,875.0,9725.0,DT_DOTA_Unit_Hero_WitchDoctor,13009.0,5865.0,DT_DOTA_Unit_Hero_Broodmother,4879.0,11837.0,DT_DOTA_Unit_Hero_Slardar,13590.0,7776.0,DT_DOTA_Unit_Hero_VengefulSpirit,13171.0,6176.0,DT_DOTA_Unit_Hero_Nevermore,7745.0,8437.0,
20, DT_DOTA_Unit_Hero_Sniper,5746.0,7340.0,DT_DOTA_Unit_Hero_Axe,10446.0,2010.0,DT_DOTA_Unit_Hero_Omniknight,10721.0,2673.0,DT_DOTA_Unit_Hero_Earthshaker,822.0,8750.0,DT_DOTA_Unit_Hero_Juggernaut,807.0,9468.0,DT_DOTA_Unit_Hero_WitchDoctor,12930.0,5281.0,DT_DOTA_Unit_Hero_Broodmother,4335.0,11936.0,DT_DOTA_Unit_Hero_Slardar,13561.0,7355.0,DT_DOTA_Unit_Hero_VengefulSpirit,13030.0,5527.0,DT_DOTA_Unit_Hero_Nevermore,7251.0,8116.0,
